               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071927,             0.06612,            0.053013,             0.35097,             0.59316,             0.46559,             0.25236,            0.039733,            0.030753,            0.043321,           0.0033221,           0.0033221,            0.070101
                   1,             0.04751,            0.052779,            0.037722,             0.40507,              0.6882,             0.60432,             0.37884,            0.037383,             0.02799,            0.030054,           0.0065895,           0.0065895,            0.040035
                   2,            0.041439,            0.050959,            0.028757,             0.73508,             0.78553,              0.8187,             0.44691,            0.035986,            0.027184,            0.020688,            0.009791,            0.009791,           0.0099036
                   3,            0.035999,            0.049413,            0.021207,             0.82313,              0.7856,             0.85849,             0.62129,            0.028205,            0.027181,            0.017002,            0.009703,            0.009703,            0.009703
                   4,            0.031285,            0.047088,            0.015475,             0.93701,             0.88474,             0.94185,             0.72621,            0.023603,            0.023951,            0.008504,            0.009703,            0.009703,            0.009703
                   5,            0.028869,            0.045406,            0.012443,             0.94689,             0.89749,              0.9516,             0.73903,            0.023666,            0.023434,           0.0060285,            0.009604,            0.009604,            0.009604
                   6,            0.027542,            0.044066,            0.010492,             0.93486,             0.90813,              0.9373,             0.75463,            0.021829,            0.022244,           0.0072277,            0.009505,            0.009505,            0.009505
                   7,            0.025678,             0.04353,           0.0092396,             0.96604,             0.91659,             0.95629,             0.78272,            0.021102,            0.021887,           0.0046772,            0.009406,            0.009406,            0.009406
                   8,            0.024669,            0.041278,           0.0076442,             0.97408,             0.92596,             0.96228,             0.80628,             0.01936,            0.021064,           0.0031936,            0.009307,            0.009307,            0.009307
                   9,            0.024045,            0.040814,           0.0075737,             0.97702,             0.92956,             0.96435,             0.79884,             0.01957,            0.020274,           0.0037726,            0.009208,            0.009208,            0.009208
                  10,            0.023795,            0.039951,           0.0066941,              0.9707,             0.93934,             0.96398,             0.82539,            0.017982,            0.020662,           0.0024221,            0.009109,            0.009109,            0.009109
                  11,            0.022899,            0.039321,           0.0060014,             0.96759,             0.93836,             0.96108,             0.82143,            0.018366,            0.020717,           0.0026979,             0.00901,             0.00901,             0.00901
                  12,            0.022283,              0.0379,           0.0065156,             0.97006,             0.93041,             0.95443,             0.81159,             0.01906,            0.021438,           0.0028356,            0.008911,            0.008911,            0.008911
                  13,            0.021451,            0.037739,           0.0053635,             0.96478,             0.91726,             0.95541,             0.81679,            0.018348,            0.020982,           0.0030017,            0.008812,            0.008812,            0.008812
                  14,             0.02113,            0.037877,           0.0048022,             0.93897,             0.90033,             0.94298,             0.82099,            0.017605,            0.021435,           0.0052628,            0.008713,            0.008713,            0.008713
                  15,            0.020729,            0.036714,           0.0044006,             0.97678,             0.92735,             0.96701,             0.84746,            0.016523,             0.01925,           0.0023677,            0.008614,            0.008614,            0.008614
                  16,            0.020568,            0.036665,           0.0044295,             0.97096,             0.93578,             0.96662,              0.8519,            0.015866,            0.019229,           0.0019896,            0.008515,            0.008515,            0.008515
                  17,             0.01969,            0.036146,           0.0039352,             0.97768,             0.94009,              0.9708,             0.85508,            0.015632,            0.018561,           0.0014821,            0.008416,            0.008416,            0.008416
                  18,            0.020089,            0.035049,           0.0041763,             0.96288,             0.93829,             0.96671,             0.85737,            0.015396,            0.018567,           0.0026622,            0.008317,            0.008317,            0.008317
                  19,             0.01957,            0.035024,            0.003786,             0.97958,             0.94678,             0.97337,             0.87082,            0.014454,            0.017586,           0.0013687,            0.008218,            0.008218,            0.008218
                  20,             0.01906,            0.035035,           0.0036429,             0.96569,              0.9581,             0.97219,             0.86624,              0.0148,            0.017769,           0.0013464,            0.008119,            0.008119,            0.008119
                  21,            0.019027,            0.035017,           0.0035943,             0.98125,               0.946,             0.97188,             0.87393,            0.014207,            0.017403,           0.0012451,             0.00802,             0.00802,             0.00802
                  22,            0.018794,            0.034117,           0.0040274,             0.96845,             0.94766,             0.97389,             0.87418,            0.014113,            0.017339,           0.0016714,            0.007921,            0.007921,            0.007921
                  23,            0.018533,            0.034231,           0.0036033,             0.97146,             0.94431,             0.96828,             0.86536,            0.014381,            0.017666,           0.0018549,            0.007822,            0.007822,            0.007822
                  24,            0.018451,            0.034056,            0.003536,              0.9782,             0.94412,             0.97158,             0.88213,            0.013818,            0.017242,           0.0010675,            0.007723,            0.007723,            0.007723
                  25,            0.018266,            0.033463,           0.0032384,             0.98004,             0.94573,             0.97056,             0.87839,            0.013785,            0.017113,           0.0011276,            0.007624,            0.007624,            0.007624
                  26,            0.017672,            0.032675,           0.0032421,             0.98148,             0.94577,             0.97233,             0.88942,            0.013578,            0.016825,           0.0012875,            0.007525,            0.007525,            0.007525
                  27,            0.017424,            0.032831,           0.0030243,             0.97393,              0.9422,             0.97184,             0.88088,            0.013721,            0.017389,          0.00098249,            0.007426,            0.007426,            0.007426
                  28,            0.017448,            0.032476,           0.0026496,             0.98862,             0.94179,             0.97462,             0.88874,            0.013163,            0.016471,          0.00094859,            0.007327,            0.007327,            0.007327
                  29,            0.017328,            0.032882,           0.0026772,             0.97163,             0.95284,             0.97167,             0.88834,            0.013166,             0.01651,           0.0017367,            0.007228,            0.007228,            0.007228
                  30,            0.017314,            0.032957,           0.0029211,             0.97366,             0.94836,             0.97302,             0.87717,            0.014031,            0.017639,          0.00094882,            0.007129,            0.007129,            0.007129
                  31,            0.016861,            0.031791,           0.0028836,             0.96068,             0.93556,             0.96333,             0.87348,            0.013678,            0.017671,           0.0027038,             0.00703,             0.00703,             0.00703
                  32,            0.017158,            0.031815,           0.0026733,             0.96874,             0.95794,             0.97241,             0.88195,            0.013351,            0.016566,          0.00096079,            0.006931,            0.006931,            0.006931
                  33,            0.016855,            0.031783,           0.0029008,             0.97545,             0.93693,             0.96903,             0.87679,            0.013681,            0.017374,           0.0014951,            0.006832,            0.006832,            0.006832
                  34,             0.01651,            0.031049,           0.0031154,              0.9729,             0.95079,             0.97263,             0.88514,            0.013099,            0.016306,           0.0011814,            0.006733,            0.006733,            0.006733
                  35,            0.016741,            0.031295,           0.0023465,             0.97735,             0.95727,             0.97575,             0.90032,            0.012508,            0.015441,          0.00077496,            0.006634,            0.006634,            0.006634
                  36,            0.016229,            0.031051,           0.0022629,             0.97379,             0.95814,             0.97666,             0.90397,            0.012184,            0.015258,          0.00072453,            0.006535,            0.006535,            0.006535
                  37,            0.015885,            0.030973,           0.0021948,               0.986,             0.94017,             0.97415,             0.89878,            0.012394,             0.01589,          0.00080347,            0.006436,            0.006436,            0.006436
                  38,            0.016163,            0.030651,           0.0021528,             0.97796,             0.93348,             0.97146,             0.88211,             0.01363,            0.017417,          0.00086517,            0.006337,            0.006337,            0.006337
                  39,             0.01563,            0.030515,           0.0024007,              0.9854,             0.94435,             0.97446,             0.89687,            0.012786,            0.015778,          0.00084255,            0.006238,            0.006238,            0.006238
                  40,            0.015737,             0.02996,           0.0018376,              0.9841,              0.9416,             0.97433,              0.9075,            0.012337,             0.01606,          0.00068822,            0.006139,            0.006139,            0.006139
                  41,            0.015497,            0.029858,           0.0018367,             0.98935,             0.94243,             0.97535,             0.90369,              0.0121,            0.015477,          0.00069181,             0.00604,             0.00604,             0.00604
                  42,            0.015362,            0.029739,           0.0022824,             0.97617,              0.9591,             0.97579,             0.90337,            0.012118,            0.015499,          0.00066709,            0.005941,            0.005941,            0.005941
                  43,            0.015236,            0.029277,           0.0020954,             0.98846,             0.93793,             0.97661,             0.89908,            0.012602,            0.015859,          0.00064786,            0.005842,            0.005842,            0.005842
                  44,            0.014937,            0.028934,           0.0016703,             0.96728,             0.96596,             0.97655,             0.90285,            0.011978,            0.015729,          0.00061546,            0.005743,            0.005743,            0.005743
                  45,            0.015036,            0.029326,           0.0021612,             0.97976,             0.94962,             0.97673,             0.90304,            0.012254,             0.01571,          0.00063652,            0.005644,            0.005644,            0.005644
                  46,             0.01479,            0.028767,           0.0019121,             0.97551,             0.94695,             0.97628,             0.90124,            0.012442,            0.015914,          0.00060376,            0.005545,            0.005545,            0.005545
                  47,            0.014996,            0.029145,           0.0017117,             0.98137,             0.94152,             0.97471,             0.90322,            0.012192,            0.016309,          0.00060368,            0.005446,            0.005446,            0.005446
                  48,            0.014657,            0.028319,           0.0015774,              0.9679,             0.95434,             0.97529,             0.90535,            0.011819,            0.015873,          0.00062881,            0.005347,            0.005347,            0.005347
                  49,            0.014519,            0.028546,           0.0020161,             0.97985,             0.95125,             0.97796,             0.90969,            0.011649,            0.015036,          0.00063891,            0.005248,            0.005248,            0.005248
                  50,            0.014412,            0.027782,           0.0015705,             0.98744,             0.94085,             0.97564,             0.90413,            0.011932,            0.015768,          0.00054126,            0.005149,            0.005149,            0.005149
                  51,            0.014282,            0.028132,           0.0016831,             0.98283,             0.94388,             0.97523,             0.90969,            0.011875,            0.015861,          0.00052494,             0.00505,             0.00505,             0.00505
                  52,            0.014289,            0.027746,            0.001505,             0.98597,             0.94728,             0.97679,             0.91145,            0.011709,            0.015161,          0.00055263,            0.004951,            0.004951,            0.004951
                  53,            0.014024,            0.027438,           0.0014956,              0.9799,              0.9603,             0.97881,             0.92576,            0.011064,            0.014028,          0.00051275,            0.004852,            0.004852,            0.004852
                  54,            0.014014,            0.027544,           0.0012713,             0.96373,             0.96339,             0.97547,             0.91416,              0.0113,             0.01527,          0.00049271,            0.004753,            0.004753,            0.004753
                  55,            0.013971,            0.027729,           0.0015564,             0.98006,             0.94762,             0.97634,             0.90689,            0.011889,            0.015709,          0.00047477,            0.004654,            0.004654,            0.004654
                  56,            0.013762,            0.027424,           0.0014468,             0.98508,              0.9405,             0.97626,             0.90906,            0.011753,            0.015849,          0.00049642,            0.004555,            0.004555,            0.004555
                  57,            0.013731,            0.026878,           0.0012792,             0.98368,             0.94401,             0.97728,             0.92069,            0.011216,            0.014997,          0.00044357,            0.004456,            0.004456,            0.004456
                  58,            0.013508,            0.026862,           0.0011989,             0.96072,             0.95743,             0.97524,             0.90973,            0.011697,            0.015554,          0.00044597,            0.004357,            0.004357,            0.004357
                  59,            0.013418,            0.026894,           0.0011677,             0.98722,             0.93873,             0.97682,             0.91527,            0.011346,            0.015163,           0.0004544,            0.004258,            0.004258,            0.004258
                  60,            0.013327,            0.026374,           0.0011617,             0.98891,             0.93727,             0.97549,             0.92342,            0.011062,            0.015019,          0.00040787,            0.004159,            0.004159,            0.004159
                  61,            0.013311,            0.026343,           0.0011224,             0.98956,             0.94003,             0.97749,             0.91869,            0.011162,             0.01529,          0.00041529,             0.00406,             0.00406,             0.00406
                  62,            0.013112,            0.026218,           0.0011705,             0.96382,             0.96065,              0.9777,             0.91811,            0.011201,            0.015119,          0.00040284,            0.003961,            0.003961,            0.003961
                  63,             0.01308,            0.025631,           0.0010779,              0.9692,             0.96393,              0.9772,             0.92203,            0.010802,            0.014442,          0.00039436,            0.003862,            0.003862,            0.003862
                  64,            0.012893,            0.026279,           0.0011053,             0.96862,             0.96022,             0.97749,             0.92295,            0.010835,            0.014353,          0.00037747,            0.003763,            0.003763,            0.003763
                  65,            0.013005,            0.026617,          0.00099812,               0.986,             0.94013,             0.97642,             0.91966,            0.011293,            0.015476,          0.00038116,            0.003664,            0.003664,            0.003664
                  66,             0.01253,            0.025455,           0.0010837,             0.98732,             0.94167,              0.9784,             0.92189,            0.011047,            0.015215,          0.00038577,            0.003565,            0.003565,            0.003565
                  67,             0.01259,            0.025301,          0.00098747,             0.98925,             0.94067,              0.9784,             0.92272,            0.010995,            0.015092,          0.00036768,            0.003466,            0.003466,            0.003466
                  68,            0.012323,            0.024851,          0.00096502,             0.96659,              0.9634,             0.97828,             0.92671,            0.010676,            0.014412,          0.00039769,            0.003367,            0.003367,            0.003367
                  69,            0.012231,            0.024767,          0.00095701,             0.98758,             0.93851,             0.97597,             0.91892,             0.01107,            0.015051,          0.00037502,            0.003268,            0.003268,            0.003268
                  70,            0.012209,             0.02415,          0.00097234,             0.98561,             0.93913,              0.9777,             0.92171,            0.011069,            0.015178,          0.00034814,            0.003169,            0.003169,            0.003169
                  71,            0.012173,            0.024896,          0.00090351,             0.96682,             0.96339,             0.97723,             0.91904,             0.01104,            0.015129,          0.00034704,             0.00307,             0.00307,             0.00307
                  72,            0.012132,            0.024908,          0.00089133,             0.98291,             0.94058,             0.97705,             0.91897,            0.011135,            0.015382,          0.00031781,            0.002971,            0.002971,            0.002971
                  73,             0.01193,             0.02471,          0.00084895,             0.96181,             0.95941,             0.97509,             0.91986,            0.011009,            0.015069,          0.00030763,            0.002872,            0.002872,            0.002872
                  74,            0.011834,            0.024284,          0.00090741,             0.97218,             0.96252,             0.97905,             0.92916,             0.01055,            0.014139,           0.0003276,            0.002773,            0.002773,            0.002773
                  75,            0.011789,            0.024234,          0.00099105,              0.9718,             0.96335,             0.97884,             0.93115,             0.01032,            0.013984,          0.00030894,            0.002674,            0.002674,            0.002674
                  76,             0.01192,            0.024481,          0.00097196,             0.98409,             0.94088,             0.97745,             0.92298,            0.010822,            0.015008,          0.00029234,            0.002575,            0.002575,            0.002575
                  77,            0.011656,            0.023967,           0.0010286,              0.9879,             0.93756,             0.97715,             0.92496,            0.010765,            0.014584,          0.00031242,            0.002476,            0.002476,            0.002476
                  78,            0.011488,            0.023742,           0.0010015,             0.96762,             0.96276,             0.97672,             0.92444,             0.01073,            0.014501,          0.00028488,            0.002377,            0.002377,            0.002377
                  79,            0.011682,            0.024421,          0.00081818,             0.96643,             0.96414,              0.9782,             0.93176,            0.010451,            0.014119,          0.00028516,            0.002278,            0.002278,            0.002278
                  80,            0.011587,             0.02385,          0.00085289,             0.95888,             0.96433,              0.9771,             0.92507,            0.010744,            0.014989,          0.00027488,            0.002179,            0.002179,            0.002179
                  81,            0.011228,            0.022917,          0.00079708,             0.96217,             0.96107,              0.9775,              0.9289,            0.010574,             0.01478,          0.00027617,             0.00208,             0.00208,             0.00208
                  82,            0.011326,            0.023077,          0.00081445,             0.96167,               0.963,             0.97766,             0.92606,             0.01068,            0.014823,          0.00024488,            0.001981,            0.001981,            0.001981
                  83,             0.01105,            0.023394,          0.00090824,              0.9693,              0.9582,             0.97869,             0.92629,            0.010565,            0.014658,          0.00025452,            0.001882,            0.001882,            0.001882
                  84,            0.010991,            0.022856,          0.00076429,             0.96176,             0.96496,             0.97719,             0.92472,            0.010653,            0.014819,          0.00024201,            0.001783,            0.001783,            0.001783
                  85,            0.011046,            0.023255,          0.00069545,             0.96807,             0.95703,             0.97696,             0.92813,            0.010515,            0.014548,          0.00023406,            0.001684,            0.001684,            0.001684
                  86,            0.010883,            0.022878,          0.00066654,             0.98536,             0.93893,             0.97779,             0.92776,            0.010608,            0.014824,          0.00021763,            0.001585,            0.001585,            0.001585
                  87,            0.011139,            0.022626,          0.00070453,             0.98768,             0.93685,             0.97706,              0.9258,            0.010736,            0.015027,          0.00021213,            0.001486,            0.001486,            0.001486
                  88,            0.010876,            0.022539,          0.00064019,             0.98692,              0.9372,             0.97717,             0.92478,            0.010772,            0.015073,          0.00021393,            0.001387,            0.001387,            0.001387
                  89,            0.010838,            0.022582,          0.00068403,             0.98498,             0.93746,             0.97654,             0.92498,            0.010792,              0.0151,           0.0002084,            0.001288,            0.001288,            0.001288
                  90,             0.01055,            0.021843,          0.00061774,             0.98775,             0.93745,             0.97783,              0.9281,            0.010529,             0.01472,          0.00020373,            0.001189,            0.001189,            0.001189
                  91,            0.010761,             0.02235,          0.00065598,             0.98375,             0.93852,             0.97579,             0.92619,            0.010688,            0.015124,          0.00019323,             0.00109,             0.00109,             0.00109
                  92,            0.010514,            0.021911,          0.00057287,             0.98408,             0.94183,             0.97781,             0.92505,            0.010687,            0.014996,          0.00017707,            0.000991,            0.000991,            0.000991
                  93,            0.010717,            0.021942,          0.00059355,             0.98535,             0.94034,             0.97745,             0.92722,            0.010565,            0.014867,          0.00017805,            0.000892,            0.000892,            0.000892
                  94,            0.010347,            0.021919,          0.00052694,             0.96243,             0.96347,             0.97823,             0.93092,            0.010351,            0.014513,          0.00017319,            0.000793,            0.000793,            0.000793
                  95,            0.010475,            0.021562,          0.00053592,             0.96162,             0.96285,             0.97828,             0.92996,            0.010396,            0.014699,          0.00016223,            0.000694,            0.000694,            0.000694
                  96,            0.010235,            0.021197,          0.00055142,             0.98459,             0.93971,             0.97777,             0.92814,            0.010518,            0.014968,          0.00015981,            0.000595,            0.000595,            0.000595
                  97,            0.010295,            0.021405,          0.00049508,             0.96215,              0.9619,             0.97796,             0.92927,            0.010463,            0.014892,          0.00015995,            0.000496,            0.000496,            0.000496
                  98,            0.010216,            0.021402,          0.00050929,             0.96124,             0.96549,              0.9783,             0.92982,            0.010394,            0.014719,          0.00015539,            0.000397,            0.000397,            0.000397
                  99,            0.010174,             0.02117,          0.00053118,             0.98429,             0.94142,             0.97763,             0.92824,            0.010539,            0.015015,          0.00015467,            0.000298,            0.000298,            0.000298
